workerProvidedMaterials,workerProvidedEquipment,workerUsedVehicle,workerHadOtherExpenses,expensesAreNotRelevantForRole,incomeCalendarPeriods,incomeFixed,incomePieceRate,incomeCommission,incomeProfitOrLosses,asPartOfUsualRateInWorkingHours,outsideOfUsualRateAndHours,outsideOfHoursNoCharge,noObligationToCorrect,cannotBeCorrected,,
Yes,,,,,,,,,,,,,,,InIR35,TRUE,
,Yes,,,,,,,,,,,,,,InIR35,TRUE,
,,Yes,,,,,,,,,,Yes,,,InIR35,TRUE,
,,Yes,Yes,,,,,,,,,,,,InIR35,TRUE,
,,,,yes,,,,Yes,,,,Yes,,,InIR35,TRUE,
,,,Yes,,,,,Yes,,,,,,,InIR35,TRUE,
,,,,yes,,Yes,,,,Yes,,,,,Low,FALSE,
,,,,yes,,Yes,,,,,Yes,,,,Low,FALSE,
,,,,yes,,Yes,,,,,,Yes,,,InIR35,TRUE,
,,,,yes,,Yes,,,,,,,Yes,,Medium,FALSE,
,,,,yes,,Yes,,,,,,,,Yes,Medium,FALSE,
,,,,,,,,,Yes,,,Yes,,,InIR35,TRUE,
,,,Yes,,,,,,Yes,,,,,,InIR35,TRUE,
,,,,,,,,,,,,Yes,,,InIR35,TRUE,
,,,Yes,,,,,,,,,,,,InIR35,TRUE,
,,,Yes,,,,,,,,,Yes,,,InIR35,TRUE,
,,,,Yes,Yes,,,,,,,,Yes,,Low,FALSE,
,,,,Yes,,,Yes,,,,,,Yes,,Low,FALSE,
,,,,Yes,Yes,,,,,Yes,,,,,Low,FALSE,
,,,,Yes,Yes,,,,,,Yes,,,,Low,FALSE,
,,,,Yes,,,Yes,,,Yes,,,,,Low,FALSE,
,,,,Yes,,,Yes,,,,Yes,,,,Low,FALSE,
,,,,Yes,,,Yes,,,,,,,Yes,Low,FALSE,
,,,,Yes,Yes,,,,,,,,,Yes,Low,FALSE,
